0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
-294.2,-27.201,-0.25992,-0.34449,0.35311,0.78963,23.57,-0.00095096,2.734,0.00015048,5.4154e-05,5.4172e-05,5.654e-05,0.00020924,-1.8073e-08,3.4038e-06,-3.0122e-08,5.6576e-05
456.8,8.7988,0.42008,-0.03449,0.65311,-4.2104,9.5698,0.003049,-0.066022,-0.00034952,-0.00014585,-0.00014583,-0.00014346,-0.00019076,-1.8073e-08,3.4038e-06,-3.0122e-08,-0.00014342
127.8,8.7988,0.070076,0.09551,-0.14689,-8.2104,3.5698,0.001049,-0.066022,-0.00064952,-0.00064585,-0.00064583,-0.00064346,9.2415e-06,-1.8073e-08,3.4038e-06,-3.0122e-08,-0.00064342
231.8,-29.201,0.19008,0.02551,0.55311,-6.2104,6.5698,-0.00095096,-0.16602,-0.00054952,-0.00044585,-0.00044583,-0.00044346,-0.00019076,-1.8073e-08,3.4038e-06,-3.0122e-08,-0.00044342
432.8,-9.2012,-0.23992,-0.03449,0.25311,4.7896,-1.4302,-0.005951,0.13398,0.00025048,0.00015415,0.00015417,0.00015654,0.00010924,-1.8073e-08,3.4038e-06,-3.0122e-08,0.00015658
-119.2,0.79878,0.040076,0.20551,-0.14689,-8.2104,-10.43,-0.013951,-0.16602,-0.00074952,-0.00074585,-0.00074583,-0.00074346,9.2415e-06,-1.8073e-08,3.4038e-06,-3.0122e-08,-0.00074342
40.796,14.799,0.38008,0.14551,-1.6469,-7.2104,-7.4302,0.031049,-0.16602,0.00025048,0.00025415,0.00025417,0.00025654,9.2415e-06,-1.8073e-08,3.4038e-06,-3.0122e-08,0.00025658
328.8,-0.20122,-0.049924,-0.07449,-0.84689,2.7896,3.5698,0.005049,0.33398,0.00035048,0.00035415,0.00035417,0.00035654,9.2415e-06,-1.8073e-08,3.4038e-06,-3.0122e-08,0.00035658
564.8,-26.201,-0.30992,-0.08449,0.053106,2.7896,12.57,0.005049,-1.766,0.00025048,0.00025415,0.00025417,0.00025654,9.2415e-06,-1.8073e-08,3.4038e-06,-3.0122e-08,0.00025658
23.796,-1.2012,0.050076,-0.06449,-0.84689,-3.2104,7.5698,4.9039e-05,0.33398,-4.9521e-05,-4.5846e-05,-4.5828e-05,-4.346e-05,9.2415e-06,-1.8073e-08,3.4038e-06,-3.0122e-08,-4.3424e-05
566.8,-0.20122,0.47008,-0.09449,1.1531,3.7896,5.5698,0.003049,-0.066022,0.00035048,0.00035415,0.00035417,0.00035654,-9.0758e-05,-1.8073e-08,3.4038e-06,-3.0122e-08,0.00035658
-313.2,-14.201,-0.089924,-0.04449,0.35311,4.7896,-0.43021,-0.002951,-0.066022,0.00035048,0.00035415,0.00035417,0.00035654,9.2415e-06,-1.8073e-08,3.4038e-06,-3.0122e-08,0.00035658
46.796,-22.201,-0.099924,-0.17449,0.053106,3.7896,13.57,-0.007951,-0.36602,0.00025048,0.00025415,0.00025417,0.00015654,9.2415e-06,-1.8073e-08,3.4038e-06,-3.0122e-08,0.00015658
344.8,-25.201,0.090076,-0.07449,-1.6469,-2.2104,8.5698,0.010049,-0.26602,0.00015048,0.00015415,0.00015417,0.00015654,9.2415e-06,-1.8073e-08,3.4038e-06,-3.0122e-08,0.00015658
317.8,10.799,0.20008,-0.12449,-0.14689,2.7896,5.5698,0.007049,1.034,0.00035048,0.00035415,0.00035417,0.00035654,9.2415e-06,-1.8073e-08,3.4038e-06,-3.0122e-08,0.00035658
-56.204,7.7988,7.5908e-05,0.06551,0.75311,5.7896,-13.43,-0.007951,0.033978,0.00025048,0.00025415,0.00025417,0.00025654,9.2415e-06,-1.8073e-08,3.4038e-06,-3.0122e-08,0.00025658
-245.2,-16.201,0.29008,-0.02449,0.55311,-7.2104,12.57,-0.002951,0.43398,-0.00034952,-0.00034585,-0.00034583,-0.00034346,9.2415e-06,-1.8073e-08,3.4038e-06,-3.0122e-08,-0.00034342
0.79577,24.799,0.33008,0.00551,-0.34689,2.7896,-3.4302,0.007049,-0.066022,0.00035048,0.00035415,0.00035417,0.00035654,9.2415e-06,-1.8073e-08,3.4038e-06,-3.0122e-08,0.00035658
-161.2,-5.2012,-0.27992,-0.01449,0.35311,2.7896,-3.4302,-0.003951,0.13398,0.00025048,0.00025415,0.00025417,0.00015654,9.2415e-06,-1.8073e-08,3.4038e-06,-3.0122e-08,0.00015658
-67.204,22.799,0.14008,-0.03449,0.15311,4.7896,-1.4302,0.006049,-0.066022,0.00045048,0.00045415,0.00045417,0.00045654,9.2415e-06,-1.8073e-08,3.4038e-06,-3.0122e-08,0.00045658
201.8,-15.201,0.39008,-0.00449,0.85311,0.78963,-1.4302,-0.004951,-0.26602,5.0479e-05,5.4154e-05,5.4172e-05,5.654e-05,-0.00019076,-1.8073e-08,3.4038e-06,-3.0122e-08,5.6576e-05
382.8,23.799,0.27008,-0.01449,-0.34689,4.7896,-3.4302,0.006049,0.033978,0.00045048,0.00045415,0.00045417,0.00045654,9.2415e-06,-1.8073e-08,3.4038e-06,-3.0122e-08,0.00045658
259.8,0.79878,0.070076,-0.07449,0.053106,0.78963,6.5698,0.001049,-0.066022,0.00015048,0.00015415,0.00015417,0.00015654,9.2415e-06,-1.8073e-08,3.4038e-06,-3.0122e-08,0.00015658
553.8,-39.201,-0.27992,-0.28449,-1.7469,2.7896,25.57,0.021049,0.53398,0.00055048,0.00055415,0.00055417,0.00055654,9.2415e-06,-1.8073e-08,3.4038e-06,-3.0122e-08,0.00055658
-132.2,12.799,0.090076,0.17551,1.2531,2.7896,-22.43,0.003049,-0.16602,0.00035048,0.00035415,0.00035417,0.00035654,9.2415e-06,-1.8073e-08,3.4038e-06,-3.0122e-08,0.00035658
312.8,-15.201,0.080076,-0.03449,-0.54689,-3.2104,7.5698,0.017049,-0.066022,-4.9521e-05,5.4154e-05,5.4172e-05,5.654e-05,-0.00019076,-1.8073e-08,3.4038e-06,-3.0122e-08,5.6576e-05
145.8,-15.201,-0.33992,-0.10449,0.25311,4.7896,5.5698,-0.005951,0.033978,0.00025048,0.00025415,0.00025417,0.00025654,9.2415e-06,-1.8073e-08,3.4038e-06,-3.0122e-08,0.00025658
277.8,78.799,-0.54992,-0.01449,-0.84689,1.7896,-1.4302,0.004049,-0.066022,0.00035048,0.00025415,0.00025417,0.00015654,0.00010924,-1.8073e-08,3.4038e-06,-3.0122e-08,0.00015658
-26.204,-15.201,-0.43992,-0.12449,0.15311,3.7896,8.5698,-0.007951,-0.066022,0.00015048,5.4154e-05,5.4172e-05,-4.346e-05,0.00010924,-1.8073e-08,0.0001034,-3.0122e-08,-4.3424e-05
355.8,2.7988,0.42008,-0.08449,-1.4469,3.7896,4.5698,0.013049,0.13398,0.00055048,0.00055415,0.00055417,0.00055654,9.2415e-06,-1.8073e-08,3.4038e-06,-3.0122e-08,0.00055658
